Comment,Link
Ko có đà nẵng :<,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
Bẻ lái khét quá 😂,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
Ước được đi phi cơ riêng🤡,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
redbull chiếm trọn trái tim bạn ❤,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
Về Việt Nam k biết có thay đổi vị ko chứ ở bên Nhật uống k thấy ngon,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
T thắc mắt nha qua noen để vậy sao biết cái nào mình ước,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
xin tên nhạc nền ạ,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
đag uống nhưng hơi ngọt,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
ví dụ mik mún có ô tô hay ip 15 prm có đc hong,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
ngày sinh nhật tôi,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
việt nam ko lm ae thất vọng🥰,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
quảnh trị kìa🥰,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
Nếu thật thì t mua bao ae cty uống. Bt t k uống nước ngọt,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
Quảng Ngãi quê tôi,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
sao ko thấy xe về miền Tây nhỉ,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
con muốn có 1 chiếc éc hắc 350 i,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
redbull phép màu năm mới,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
Tôn Hoa Sen,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
@ThuyDiem💢✨✨🌷chiến lượt marketing nhân đạo r,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
marketing cảm động quá 😁,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
đa số CTY trong Nam năm nào cũng có những chuyến xe như thế,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
rồi tôi sẽ chuyển qua uống nước ngọt của hãng này 🥰,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
T chỉ biết a cùng cty t bật nắp trúng 2 chỉ😂😂,https://www.tiktok.com/@lipovitan.vn/video/7319370477871336711?is_from_webapp=1&sender_device=pc&web_id=7354349897120171521
